type,legacyId,track,challenge_duration,createdBy,updatedBy,day_of_year,challenge_prize,numOfSubmissions
0,30115954,Development,0,high_freq_createdBy,medium_freq_updatedBy,47,150.0,1
1,30115500,Quality Assurance,3,medium_freq_createdBy,high_freq_updatedBy,43,600.0,1
1,30114954,Development,7,high_freq_createdBy,high_freq_updatedBy,39,2100.0,1
0,30113370,Development,11,medium_freq_createdBy,high_freq_updatedBy,23,350.0,1
1,30114956,Development,7,medium_freq_createdBy,high_freq_updatedBy,39,600.0,1
1,30114551,Design,9,medium_freq_createdBy,high_freq_updatedBy,36,500.0,1
0,30115760,Development,1,high_freq_createdBy,medium_freq_updatedBy,45,400.0,1
1,30114554,Development,9,medium_freq_createdBy,medium_freq_updatedBy,36,450.0,1
1,30114378,Quality Assurance,8,medium_freq_createdBy,low_freq_updatedBy,35,450.0,1
0,30115584,Development,1,high_freq_createdBy,medium_freq_updatedBy,44,100.0,1
0,30115511,Development,2,medium_freq_createdBy,medium_freq_updatedBy,43,50.0,1
0,30114988,Development,3,medium_freq_createdBy,high_freq_updatedBy,40,500.0,1
1,30113598,Design,15,medium_freq_createdBy,high_freq_updatedBy,28,2750.0,1
0,30115520,Development,1,high_freq_createdBy,medium_freq_updatedBy,43,300.0,1
1,30113487,Data Science,19,medium_freq_createdBy,high_freq_updatedBy,24,5950.0,1
0,30115544,Development,9,medium_freq_createdBy,medium_freq_updatedBy,43,200.0,1
0,30115514,Development,0,high_freq_createdBy,medium_freq_updatedBy,43,150.0,1
1,30113090,Design,20,medium_freq_createdBy,medium_freq_updatedBy,20,2750.0,1
1,30114473,Development,8,medium_freq_createdBy,medium_freq_updatedBy,35,1200.0,1
0,30114672,Development,4,medium_freq_createdBy,high_freq_updatedBy,37,100.0,1
1,30114674,Development,6,high_freq_createdBy,high_freq_updatedBy,37,1200.0,1
1,30114835,Development,5,medium_freq_createdBy,high_freq_updatedBy,38,1200.0,1
1,30114263,Development,8,medium_freq_createdBy,high_freq_updatedBy,33,2250.0,1
1,30114550,Development,5,medium_freq_createdBy,high_freq_updatedBy,36,900.0,1
0,30115206,Development,10,high_freq_createdBy,medium_freq_updatedBy,41,100.0,1
0,30115331,Development,10,high_freq_createdBy,medium_freq_updatedBy,42,100.0,1
0,30115332,Development,0,high_freq_createdBy,medium_freq_updatedBy,42,100.0,1
0,30115205,Development,0,medium_freq_createdBy,medium_freq_updatedBy,41,50.0,1
0,30114918,Development,2,high_freq_createdBy,high_freq_updatedBy,38,100.0,1
1,30114486,Development,6,high_freq_createdBy,high_freq_updatedBy,35,1200.0,1
0,30115099,Development,10,high_freq_createdBy,medium_freq_updatedBy,41,200.0,1
1,30112920,Data Science,19,high_freq_createdBy,high_freq_updatedBy,16,5050.0,1
1,30110010,Data Science,45,medium_freq_createdBy,high_freq_updatedBy,343,1375.0,1
0,30114837,Development,1,medium_freq_createdBy,high_freq_updatedBy,38,200.0,1
1,30114543,Development,5,high_freq_createdBy,high_freq_updatedBy,35,1200.0,1
0,30114792,Development,1,medium_freq_createdBy,high_freq_updatedBy,37,150.0,1
1,30114259,Development,7,medium_freq_createdBy,high_freq_updatedBy,32,1050.0,1
1,30113495,Design,15,medium_freq_createdBy,high_freq_updatedBy,25,2000.0,1
0,30114791,Development,10,medium_freq_createdBy,high_freq_updatedBy,37,150.0,1
0,30114870,Development,1,high_freq_createdBy,high_freq_updatedBy,38,300.0,1
0,30114675,Development,10,high_freq_createdBy,high_freq_updatedBy,37,250.0,1
0,30114926,Development,0,high_freq_createdBy,medium_freq_updatedBy,39,100.0,1
0,30114919,Development,10,high_freq_createdBy,medium_freq_updatedBy,38,60.0,1
0,30114920,Development,10,high_freq_createdBy,medium_freq_updatedBy,38,60.0,1
0,30114730,Development,10,high_freq_createdBy,high_freq_updatedBy,37,300.0,1
1,30114542,Development,2,high_freq_createdBy,high_freq_updatedBy,35,600.0,1
1,30114007,Quality Assurance,7,medium_freq_createdBy,high_freq_updatedBy,31,1282.0,1
1,30113997,Development,7,medium_freq_createdBy,high_freq_updatedBy,30,900.0,1
1,30114285,Development,4,medium_freq_createdBy,high_freq_updatedBy,33,900.0,1
0,30113944,Development,0,high_freq_createdBy,high_freq_updatedBy,30,100.0,1
1,30113988,Development,7,medium_freq_createdBy,high_freq_updatedBy,30,900.0,1
1,30113334,Development,8,medium_freq_createdBy,medium_freq_updatedBy,22,2100.0,1
1,30113785,Development,7,high_freq_createdBy,medium_freq_updatedBy,29,2100.0,1
1,30113345,Development,9,medium_freq_createdBy,high_freq_updatedBy,23,1922.8,1
0,30114555,Development,0,medium_freq_createdBy,medium_freq_updatedBy,36,100.0,1
1,30113343,Quality Assurance,12,medium_freq_createdBy,high_freq_updatedBy,23,1359.0,1
1,30111738,Data Science,31,medium_freq_createdBy,high_freq_updatedBy,357,5950.0,1
1,30113164,Development,13,medium_freq_createdBy,high_freq_updatedBy,21,900.0,1
0,30113513,Development,7,medium_freq_createdBy,high_freq_updatedBy,27,200.0,1
0,30113943,Development,5,high_freq_createdBy,high_freq_updatedBy,30,300.0,1
1,30113892,Development,5,medium_freq_createdBy,high_freq_updatedBy,29,1200.0,1
0,30113508,Development,8,high_freq_createdBy,medium_freq_updatedBy,26,150.0,1
0,30114311,Development,0,high_freq_createdBy,medium_freq_updatedBy,34,175.0,1
0,30113681,Development,4,medium_freq_createdBy,high_freq_updatedBy,28,150.0,1
1,30113482,Development,9,medium_freq_createdBy,high_freq_updatedBy,24,2400.0,1
1,30113597,Quality Assurance,5,medium_freq_createdBy,medium_freq_updatedBy,28,415.0,1
1,30113877,Development,3,medium_freq_createdBy,high_freq_updatedBy,29,600.0,1
1,30113503,Development,7,medium_freq_createdBy,high_freq_updatedBy,25,1800.0,1
0,30113935,Development,2,high_freq_createdBy,high_freq_updatedBy,30,250.0,1
1,30113625,Quality Assurance,4,medium_freq_createdBy,high_freq_updatedBy,28,625.0,1
1,30111446,Design,44,medium_freq_createdBy,high_freq_updatedBy,352,1550.0,1
1,30110011,Data Science,45,medium_freq_createdBy,high_freq_updatedBy,343,1375.0,1
0,30113494,Development,6,medium_freq_createdBy,medium_freq_updatedBy,25,800.0,1
1,30113160,Design,10,medium_freq_createdBy,high_freq_updatedBy,20,1550.0,1
1,30111358,Data Science,36,medium_freq_createdBy,medium_freq_updatedBy,351,11500.0,1
1,30108038,Data Science,65,medium_freq_createdBy,high_freq_updatedBy,329,1375.0,1
1,30108037,Data Science,65,medium_freq_createdBy,high_freq_updatedBy,329,1375.0,1
1,30113391,Development,6,medium_freq_createdBy,high_freq_updatedBy,23,600.0,1
1,30111357,Data Science,39,medium_freq_createdBy,medium_freq_updatedBy,351,5950.0,1
1,30113264,Development,7,high_freq_createdBy,high_freq_updatedBy,22,900.0,1
1,30111726,Design,36,medium_freq_createdBy,high_freq_updatedBy,357,2000.0,1
1,30109464,Development,9,low_freq_createdBy,low_freq_updatedBy,340,600.0,1
1,30112930,Development,11,medium_freq_createdBy,high_freq_updatedBy,17,2100.0,1
1,30113181,Development,7,high_freq_createdBy,high_freq_updatedBy,21,610.0,1
1,30112236,Design,20,medium_freq_createdBy,high_freq_updatedBy,2,2000.0,1
1,30112950,Quality Assurance,10,medium_freq_createdBy,high_freq_updatedBy,17,1250.0,1
1,30112623,Design,17,medium_freq_createdBy,high_freq_updatedBy,10,1550.0,1
1,30113401,Development,4,medium_freq_createdBy,high_freq_updatedBy,23,1200.0,1
1,30088255,Design,18,medium_freq_createdBy,medium_freq_updatedBy,99,3750.0,1
1,30112567,Development,13,medium_freq_createdBy,high_freq_updatedBy,9,1804.3,1
0,30112907,Design,10,medium_freq_createdBy,high_freq_updatedBy,16,400.0,1
0,30113425,Development,9,high_freq_createdBy,high_freq_updatedBy,24,200.0,1
1,30113241,Development,4,high_freq_createdBy,high_freq_updatedBy,21,900.0,1
1,30113238,Design,4,medium_freq_createdBy,medium_freq_updatedBy,21,200.0,1
1,30113048,Development,8,high_freq_createdBy,high_freq_updatedBy,18,1050.0,1
0,30113381,Development,10,medium_freq_createdBy,high_freq_updatedBy,23,150.0,1
1,30113052,Development,6,high_freq_createdBy,high_freq_updatedBy,18,600.0,1
1,30113029,Development,7,medium_freq_createdBy,high_freq_updatedBy,17,1800.0,1
0,30113492,Development,10,high_freq_createdBy,medium_freq_updatedBy,25,50.0,1
0,30113254,Development,3,high_freq_createdBy,high_freq_updatedBy,22,350.0,1
1,30113051,Development,6,high_freq_createdBy,high_freq_updatedBy,18,1200.0,1
0,30113148,Development,10,medium_freq_createdBy,high_freq_updatedBy,20,150.0,1
1,30112566,Quality Assurance,14,medium_freq_createdBy,high_freq_updatedBy,9,1550.0,1
0,30113369,Development,10,high_freq_createdBy,high_freq_updatedBy,23,100.0,1
1,30110916,Design,40,medium_freq_createdBy,medium_freq_updatedBy,347,2000.0,1
0,30113032,Development,10,medium_freq_createdBy,high_freq_updatedBy,18,200.0,1
1,30112925,Development,6,high_freq_createdBy,high_freq_updatedBy,17,1200.0,1
1,30112927,Development,5,medium_freq_createdBy,high_freq_updatedBy,17,1050.0,1
1,30112583,Data Science,12,medium_freq_createdBy,high_freq_updatedBy,9,1800.0,1
1,30103825,Data Science,41,low_freq_createdBy,high_freq_updatedBy,276,25000.0,1
1,30111804,Design,28,medium_freq_createdBy,high_freq_updatedBy,358,2750.0,1
1,30112857,Development,6,medium_freq_createdBy,high_freq_updatedBy,16,900.0,1
1,30112672,Development,8,high_freq_createdBy,high_freq_updatedBy,13,1200.0,1
0,30113057,Development,3,high_freq_createdBy,medium_freq_updatedBy,19,200.0,1
1,30112681,Development,8,medium_freq_createdBy,medium_freq_updatedBy,13,900.0,1
1,30111095,Development,28,medium_freq_createdBy,high_freq_updatedBy,349,900.0,1
1,30108036,Data Science,55,medium_freq_createdBy,high_freq_updatedBy,329,1375.0,1
1,30108035,Data Science,55,medium_freq_createdBy,high_freq_updatedBy,329,1375.0,1
1,30106341,Data Science,69,medium_freq_createdBy,high_freq_updatedBy,315,1375.0,1
0,30113096,Development,10,medium_freq_createdBy,medium_freq_updatedBy,20,200.0,1
1,30106340,Data Science,69,medium_freq_createdBy,high_freq_updatedBy,315,1375.0,1
1,30112234,Design,17,medium_freq_createdBy,high_freq_updatedBy,2,2000.0,1
1,30112702,Development,6,high_freq_createdBy,high_freq_updatedBy,13,900.0,1
1,30112802,Development,4,medium_freq_createdBy,high_freq_updatedBy,14,2250.0,1
1,30112499,Development,10,low_freq_createdBy,high_freq_updatedBy,8,1350.0,1
1,30112569,Development,8,medium_freq_createdBy,high_freq_updatedBy,9,1200.0,1
0,30112913,Development,10,medium_freq_createdBy,high_freq_updatedBy,16,100.0,1
1,30112625,Development,7,high_freq_createdBy,high_freq_updatedBy,11,1350.0,1
1,30107639,Quality Assurance,30,medium_freq_createdBy,medium_freq_updatedBy,326,1.0,1
0,30112932,Development,0,medium_freq_createdBy,high_freq_updatedBy,17,250.0,1
1,30111946,Design,12,high_freq_createdBy,medium_freq_updatedBy,361,1800.0,1
1,30112535,Design,8,medium_freq_createdBy,high_freq_updatedBy,9,2750.0,1
1,30112534,Design,8,medium_freq_createdBy,high_freq_updatedBy,9,2000.0,1
0,30112832,Development,1,medium_freq_createdBy,high_freq_updatedBy,15,100.0,1
0,30112241,Design,8,medium_freq_createdBy,high_freq_updatedBy,2,300.0,1
0,30112633,Development,4,high_freq_createdBy,high_freq_updatedBy,12,50.0,1
0,30112856,Development,10,high_freq_createdBy,high_freq_updatedBy,16,150.0,1
1,30111105,Data Science,12,medium_freq_createdBy,high_freq_updatedBy,349,3400.0,1
1,30112574,Development,6,high_freq_createdBy,high_freq_updatedBy,9,900.0,1
1,30109230,Data Science,40,medium_freq_createdBy,high_freq_updatedBy,339,10000.0,1
1,30110483,Design,33,medium_freq_createdBy,high_freq_updatedBy,345,2000.0,1
1,30110470,Design,33,medium_freq_createdBy,high_freq_updatedBy,345,2000.0,1
1,30111443,Development,7,medium_freq_createdBy,high_freq_updatedBy,352,2100.0,1
1,30112418,Development,6,medium_freq_createdBy,high_freq_updatedBy,7,700.0,1
1,30109228,Data Science,38,medium_freq_createdBy,high_freq_updatedBy,339,10000.0,1
0,30112636,Development,1,high_freq_createdBy,high_freq_updatedBy,12,200.0,1
0,30112635,Development,1,high_freq_createdBy,high_freq_updatedBy,12,100.0,1
0,30112673,Development,0,medium_freq_createdBy,high_freq_updatedBy,13,75.0,1
1,30109373,Data Science,38,medium_freq_createdBy,medium_freq_updatedBy,339,20000.0,1
1,30109461,Design,38,medium_freq_createdBy,high_freq_updatedBy,340,2000.0,1
1,30112293,Development,7,medium_freq_createdBy,low_freq_updatedBy,3,1200.0,1
0,30112509,Development,4,medium_freq_createdBy,high_freq_updatedBy,8,200.0,1
0,30112661,Development,10,high_freq_createdBy,high_freq_updatedBy,13,50.0,1
1,30112578,Development,3,high_freq_createdBy,high_freq_updatedBy,9,600.0,1
0,30112510,Development,4,high_freq_createdBy,high_freq_updatedBy,8,300.0,1
1,30112325,Development,7,medium_freq_createdBy,high_freq_updatedBy,5,1500.0,1
1,30111456,Design,24,medium_freq_createdBy,high_freq_updatedBy,353,2000.0,1
0,30112601,Development,2,high_freq_createdBy,high_freq_updatedBy,10,100.0,1
0,30112631,Development,9,high_freq_createdBy,high_freq_updatedBy,11,100.0,1
0,30112524,Development,1,medium_freq_createdBy,high_freq_updatedBy,8,600.0,1
0,30112560,Development,1,high_freq_createdBy,high_freq_updatedBy,9,100.0,1
1,30112184,Development,8,high_freq_createdBy,high_freq_updatedBy,1,1800.0,1
0,30112600,Development,0,high_freq_createdBy,medium_freq_updatedBy,10,300.0,1
1,30112181,Quality Assurance,10,medium_freq_createdBy,high_freq_updatedBy,365,500.0,1
1,30112299,Development,6,high_freq_createdBy,high_freq_updatedBy,4,1350.0,1
1,30110931,Data Science,25,medium_freq_createdBy,high_freq_updatedBy,347,5950.0,1
0,30104353,Development,0,high_freq_createdBy,medium_freq_updatedBy,288,75.0,1
0,30103963,Development,1,high_freq_createdBy,medium_freq_updatedBy,281,65.0,1
0,30104425,Development,0,high_freq_createdBy,medium_freq_updatedBy,289,150.0,1
0,30104489,Development,0,high_freq_createdBy,medium_freq_updatedBy,290,80.0,1
0,30104491,Development,10,high_freq_createdBy,medium_freq_updatedBy,290,80.0,1
0,30104492,Development,0,high_freq_createdBy,medium_freq_updatedBy,290,50.0,1
0,30104739,Development,6,high_freq_createdBy,medium_freq_updatedBy,295,350.0,1
0,30104831,Development,0,high_freq_createdBy,medium_freq_updatedBy,296,150.0,1
0,30104897,Development,0,high_freq_createdBy,medium_freq_updatedBy,296,100.0,1
0,30105063,Development,1,high_freq_createdBy,medium_freq_updatedBy,297,100.0,1
0,30105064,Development,1,high_freq_createdBy,medium_freq_updatedBy,297,150.0,1
0,30105640,Development,10,high_freq_createdBy,medium_freq_updatedBy,305,100.0,1
0,30105642,Development,2,high_freq_createdBy,medium_freq_updatedBy,305,100.0,1
0,30105755,Development,10,high_freq_createdBy,medium_freq_updatedBy,309,100.0,1
0,30105882,Development,1,high_freq_createdBy,medium_freq_updatedBy,311,100.0,1
0,30105911,Development,1,high_freq_createdBy,medium_freq_updatedBy,311,150.0,1
0,30106069,Development,10,high_freq_createdBy,medium_freq_updatedBy,312,125.0,1
0,30107353,Development,2,high_freq_createdBy,medium_freq_updatedBy,324,200.0,1
0,30108163,Development,9,high_freq_createdBy,medium_freq_updatedBy,330,250.0,1
0,30108441,Development,0,high_freq_createdBy,medium_freq_updatedBy,332,100.0,1
0,30108867,Development,0,high_freq_createdBy,medium_freq_updatedBy,337,175.0,1
0,30109255,Development,1,high_freq_createdBy,medium_freq_updatedBy,339,150.0,1
0,30109319,Development,1,high_freq_createdBy,medium_freq_updatedBy,339,150.0,1
0,30109902,Development,1,high_freq_createdBy,medium_freq_updatedBy,343,250.0,1
0,30109948,Development,0,high_freq_createdBy,medium_freq_updatedBy,343,50.0,1
0,30110615,Development,3,high_freq_createdBy,medium_freq_updatedBy,346,150.0,1
0,30111133,Development,0,high_freq_createdBy,medium_freq_updatedBy,350,65.0,1
0,30111432,Development,3,high_freq_createdBy,medium_freq_updatedBy,352,300.0,1
0,30111622,Development,4,high_freq_createdBy,medium_freq_updatedBy,355,175.0,1
0,30111699,Development,0,high_freq_createdBy,medium_freq_updatedBy,357,100.0,1
0,30111812,Development,0,high_freq_createdBy,medium_freq_updatedBy,359,75.0,1
0,30112454,Development,0,high_freq_createdBy,medium_freq_updatedBy,7,400.0,1
0,30112477,Development,10,low_freq_createdBy,high_freq_updatedBy,7,15.0,1
0,30110986,Development,9,medium_freq_createdBy,high_freq_updatedBy,348,750.0,1
1,30112232,Development,6,medium_freq_createdBy,high_freq_updatedBy,2,1200.0,1
1,30111811,Quality Assurance,15,medium_freq_createdBy,medium_freq_updatedBy,359,1350.0,1
1,30112189,Development,7,high_freq_createdBy,high_freq_updatedBy,1,1200.0,1
1,30112115,Quality Assurance,8,medium_freq_createdBy,high_freq_updatedBy,364,500.0,1
1,30111644,Development,8,medium_freq_createdBy,high_freq_updatedBy,355,1711.5,1
0,30112320,Development,3,high_freq_createdBy,high_freq_updatedBy,4,600.0,1
1,30111643,Quality Assurance,11,medium_freq_createdBy,high_freq_updatedBy,355,2000.0,1
1,30109376,Data Science,31,medium_freq_createdBy,medium_freq_updatedBy,339,10000.0,1
1,30110632,Data Science,10,medium_freq_createdBy,high_freq_updatedBy,346,0.0,1
0,30111546,Development,16,medium_freq_createdBy,high_freq_updatedBy,354,1200.0,1
1,30111996,Design,8,medium_freq_createdBy,high_freq_updatedBy,361,5750.0,1
1,30111938,Development,8,medium_freq_createdBy,high_freq_updatedBy,360,2100.0,1
1,30106339,Data Science,53,medium_freq_createdBy,high_freq_updatedBy,315,1375.0,1
1,30106338,Data Science,53,medium_freq_createdBy,high_freq_updatedBy,315,1375.0,1
0,30112200,Development,2,medium_freq_createdBy,high_freq_updatedBy,2,100.0,1
1,30105244,Data Science,67,medium_freq_createdBy,high_freq_updatedBy,301,1375.0,1
1,30105243,Data Science,67,medium_freq_createdBy,high_freq_updatedBy,301,1375.0,1
1,30112025,Development,6,medium_freq_createdBy,high_freq_updatedBy,363,900.0,1
1,30111809,Quality Assurance,10,medium_freq_createdBy,medium_freq_updatedBy,358,600.0,1
1,30111724,Development,9,high_freq_createdBy,high_freq_updatedBy,357,900.0,1
1,30111837,Development,6,medium_freq_createdBy,high_freq_updatedBy,360,1500.0,1
1,30111978,Development,7,medium_freq_createdBy,high_freq_updatedBy,361,1500.0,1
1,30112031,Development,4,medium_freq_createdBy,high_freq_updatedBy,363,900.0,1
1,30110823,Development,18,medium_freq_createdBy,high_freq_updatedBy,347,900.0,1
1,30112014,Quality Assurance,5,high_freq_createdBy,medium_freq_updatedBy,362,460.0,1
1,30111831,Development,6,high_freq_createdBy,high_freq_updatedBy,360,1500.0,1
0,30112187,Development,0,high_freq_createdBy,high_freq_updatedBy,1,300.0,1
0,30112185,Development,10,medium_freq_createdBy,high_freq_updatedBy,1,60.0,1
0,30112119,Development,1,medium_freq_createdBy,high_freq_updatedBy,365,170.0,1
1,30108777,Development,29,medium_freq_createdBy,high_freq_updatedBy,336,0.0,1
1,30110295,Data Science,19,medium_freq_createdBy,high_freq_updatedBy,345,5950.0,1
0,30112117,Development,0,medium_freq_createdBy,high_freq_updatedBy,365,80.0,1
1,30110353,Design,19,medium_freq_createdBy,high_freq_updatedBy,345,2750.0,1
1,30111513,Development,8,medium_freq_createdBy,medium_freq_updatedBy,353,1300.0,1
1,30111816,Quality Assurance,4,high_freq_createdBy,high_freq_updatedBy,359,442.0,1
1,30111607,Development,8,medium_freq_createdBy,high_freq_updatedBy,354,2100.0,1
1,30111526,Development,8,medium_freq_createdBy,high_freq_updatedBy,354,2100.0,1
0,30111107,Development,12,medium_freq_createdBy,medium_freq_updatedBy,350,150.0,1
1,30111394,Development,10,medium_freq_createdBy,high_freq_updatedBy,352,1275.0,1
1,30111682,Development,4,medium_freq_createdBy,high_freq_updatedBy,356,1200.0,1
1,30111815,Quality Assurance,3,high_freq_createdBy,high_freq_updatedBy,359,452.0,1
1,30111814,Quality Assurance,3,high_freq_createdBy,high_freq_updatedBy,359,500.0,1
1,30111612,Development,7,medium_freq_createdBy,high_freq_updatedBy,355,1200.0,1
1,30111618,Development,7,medium_freq_createdBy,high_freq_updatedBy,355,1200.0,1
1,30108194,Design,30,medium_freq_createdBy,high_freq_updatedBy,331,2750.0,1
1,30111426,Development,8,medium_freq_createdBy,high_freq_updatedBy,352,1200.0,1
1,30105762,Development,7,medium_freq_createdBy,medium_freq_updatedBy,309,900.0,1
1,30107427,Design,33,medium_freq_createdBy,high_freq_updatedBy,324,2750.0,1
1,30111527,Development,4,medium_freq_createdBy,medium_freq_updatedBy,354,1020.0,1
1,30111329,Development,7,high_freq_createdBy,high_freq_updatedBy,351,1200.0,1
1,30109404,Design,18,medium_freq_createdBy,high_freq_updatedBy,339,1550.0,1
1,30111408,Development,5,medium_freq_createdBy,high_freq_updatedBy,352,150.0,1
1,30111407,Development,5,medium_freq_createdBy,high_freq_updatedBy,352,150.0,1
1,30111406,Development,5,medium_freq_createdBy,high_freq_updatedBy,352,150.0,1
1,30111336,Development,6,high_freq_createdBy,high_freq_updatedBy,351,1200.0,1
1,30111405,Development,5,medium_freq_createdBy,high_freq_updatedBy,352,150.0,1
1,30111412,Development,5,medium_freq_createdBy,high_freq_updatedBy,352,150.0,1
0,30111486,Development,4,medium_freq_createdBy,high_freq_updatedBy,353,500.0,1
